id,label,L,a,b
220,Black,22,5,-21
221,Black,4,24,-39
222,Black,5,17,-29
223,Black,5,17,-29
224,Black,6,18,-29
225,Black,4,22,-34
226,Orange,38,28,31
227,Orange,39,29,34
228,Orange,40,29,35
229,Orange,38,29,34
230,Orange,37,24,18
231,Brown,20,23,2
232,Brown,21,22,5
233,Brown,20,24,7
234,Brown,21,24,6
235,Brown,21,25,-7
236,Brown,69,14,8
237,Brown,70,15,9
238,Brown,66,15,-1
239,Black,31,-4,-23
240,Orange,80,17,47
241,Orange,80,16,45
242,Orange,81,13,27
243,Brown,68,18,11
244,Brown,61,23,15
245,Brown,61,22,14
246,Brown,76,15,-1
247,Brown,74,13,-2
248,Black,45,-7,-18
249,Black,43,-4,-27
250,Orange,86,8,21
251,Orange,83,12,32
252,Orange,84,14,33
253,Orange,86,12,19
254,Brown,74,16,5
255,Brown,73,18,13
256,Brown,71,20,13
257,Brown,70,20,0
258,Brown,27,25,-7
259,Brown,29,24,-5
260,Brown,28,21,-8
261,Brown,27,22,-13
262,Black,13,11,-28
263,Black,12,15,-33
264,Black,4,26,-39
265,Black,5,21,-35
266,Black,5,22,-36
267,Orange,40,23,26
268,Orange,41,23,31
269,Orange,41,21,31
270,Orange,41,22,24
271,Brown,22,25,4
272,Brown,24,23,8
273,Brown,22,25,4
274,Brown,21,26,4
275,Brown,29,22,-11
276,Brown,30,20,2
277,Brown,30,20,3
278,Black,12,14,-34
279,Black,16,8,-25
280,Black,13,12,-30
281,Black,12,16,-36
282,Black,7,16,-32
283,Black,9,13,-31
284,Orange,42,25,26
285,Orange,43,27,29
286,Orange,42,24,29
287,Orange,42,24,19
288,Brown,24,24,0
289,Brown,25,22,5
290,Brown,23,28,4
291,Brown,23,26,-3
292,Black,14,8,-6
293,Black,26,6,-25
294,Black,26,5,-24
295,Orange,58,17,21
296,Orange,58,18,23
297,Orange,58,19,23
298,Orange,60,17,15
299,Brown,35,14,3
300,Brown,40,13,2
301,Brown,27,20,-8
302,Brown,34,12,-9
303,Brown,43,12,0
304,Brown,49,10,3
305,Brown,48,11,-2
306,Black,5,17,-31
307,Black,13,18,-35
308,Black,13,18,-31
309,Orange,53,21,10
310,Orange,54,23,18
311,Orange,57,21,23
312,Orange,58,20,20
313,Brown,45,18,-8
314,Brown,59,14,-1
315,Brown,60,15,-3
316,Brown,38,20,-19
317,Brown,27,22,1
318,Brown,28,22,3
319,Brown,27,21,-1
320,Brown,27,22,-4
321,Black,13,7,-22
322,Black,12,11,-29
323,Black,7,17,-31
324,Black,7,19,-32
325,Orange,41,25,24
326,Orange,41,25,30
327,Orange,40,25,34
328,Orange,41,24,30
329,Brown,22,29,4
330,Brown,25,27,8
331,Brown,25,26,8
332,Brown,25,26,8
333,Brown,74,13,0
334,Brown,74,14,-2
335,Black,47,-7,-18
336,Black,37,-1,-30
337,Orange,87,8,17
338,Orange,85,11,29
339,Orange,84,13,36
340,Orange,85,12,30
341,Orange,87,10,14
342,Brown,75,16,7
343,Brown,73,20,13
344,Brown,71,19,12
345,Brown,69,19,3
346,Brown,43,14,-14
347,Brown,48,12,-4
348,Black,5,23,-37
349,Black,3,23,-37
350,Red,31,33,-7
351,Red,30,33,-6
352,Black,17,6,-29
353,Black,19,5,-29
354,Black,18,11,-35
355,Brown,29,19,2
356,Brown,31,19,5
357,Brown,34,17,2
358,Brown,38,14,2
359,Brown,34,18,2
360,Brown,36,14,-4
361,Brown,18,26,18
362,Brown,21,26,20
363,Brown,21,27,16
364,Black,6,21,-34
365,Black,6,19,-31
366,Black,7,16,-27
367,Black,5,20,-32
368,Red,23,38,11
369,Red,24,39,21
370,Red,24,38,12
371,Brown,31,16,5
372,Brown,33,20,6
373,Brown,38,16,4
374,Brown,19,20,1
375,Brown,20,21,10
376,Brown,20,21,10
377,Brown,20,22,12
378,Black,5,21,-33
379,Black,5,20,-32
380,Black,5,17,-28
381,Black,3,21,-32
382,Black,6,21,-33
383,Red,22,33,6
384,Red,18,37,26
385,Red,18,37,24
386,Brown,23,20,12
387,Brown,24,17,4
388,Brown,20,22,14
389,Brown,26,23,15
390,Brown,30,26,12
391,Brown,34,18,4
392,Black,7,19,-32
393,Black,7,20,-31
394,Black,9,18,-29
395,Black,15,7,-20
396,Black,14,13,-33
397,Red,17,37,16
398,Red,21,39,26
399,Red,21,40,27
400,Red,16,36,11
401,Brown,32,8,6
402,Brown,25,13,7
403,Brown,30,14,2
404,Brown,27,16,-7
405,Brown,18,22,11
406,Brown,19,28,17
407,Brown,18,26,13
408,Brown,18,25,14
409,Black,6,16,-29
410,Black,4,19,-31
411,Black,3,17,-30
412,Black,7,15,-23
413,Red,21,36,20
414,Red,22,36,18
415,Red,22,35,14
416,Brown,27,18,9
417,Brown,25,16,3
418,Brown,27,16,9
419,Brown,61,9,15
420,Brown,54,9,20
421,Brown,42,12,18
422,Brown,45,8,17
423,Black,24,-5,-22
424,Red,31,39,15
425,Red,28,36,8
426,Red,42,27,-2
427,Brown,46,15,16
428,Brown,42,13,14
429,Brown,50,8,14
430,Brown,37,20,12
431,Brown,38,18,18
432,Brown,35,20,21
433,Brown,29,23,17
434,Black,16,7,-19
435,Black,15,4,-24
436,Black,12,5,-22
437,Black,12,3,-19
438,Red,24,44,23
439,Red,28,44,26
440,Red,27,44,22
441,Red,25,38,7
442,Brown,49,11,13
443,Brown,44,18,9
444,Brown,36,8,-11
445,Brown,38,23,17
446,Brown,35,25,16
447,Brown,29,24,8
448,Brown,33,14,4
449,Black,13,6,-21
450,Black,10,13,-33
451,Black,12,10,-30
452,Black,18,1,-23
453,Black,20,-2,-16
454,Red,25,44,7
455,Red,27,47,29
456,Red,26,44,18
457,Red,28,36,-8
458,Brown,48,8,9
459,Brown,34,23,24
460,Brown,35,22,20
461,Brown,34,24,23
462,Brown,36,23,21
463,Black,12,9,-23
464,Black,14,5,-23
465,Black,17,8,-30
466,Black,10,11,-27
467,Black,13,9,-31
468,Red,29,36,0
469,Red,29,45,27
470,Red,27,43,21
471,Red,30,30,-9
472,Brown,41,15,15
473,Brown,41,17,12
474,Brown,42,18,17
475,Brown,42,19,12
476,Brown,41,20,17
477,Brown,36,19,17
478,Black,18,1,-24
479,Black,15,5,-22
480,Black,24,1,-16
481,Black,22,-3,-18
482,Red,26,39,11
483,Red,27,44,26
484,Red,26,43,23
485,Red,23,39,6
486,Brown,51,12,14
487,Brown,50,12,12
488,Brown,55,8,6
489,Green,47,-24,0
490,Green,45,-27,3
491,Green,48,-22,1
492,Silver,69,0,-28
493,Silver,70,2,-30
494,Silver,68,2,-24
495,Gold,85,-9,0
496,Gold,89,-9,1
497,Gold,88,-8,1
498,Brown,9,9,7
499,Brown,20,9,10
500,Green,44,-10,18
501,Green,33,-12,20
502,Green,49,-8,16
503,Silver,61,-1,-4
504,Silver,59,0,-8
505,Silver,60,1,-8
506,Gold,61,-2,7
507,Gold,62,-2,7
508,Gold,63,-2,7
509,Brown,29,7,22
510,Brown,59,5,17
511,Brown,65,5,20
512,Green,78,-10,27
513,Green,59,-12,31
514,Green,63,-10,29
515,Silver,83,-2,14
516,Gold,81,-3,20
517,Gold,91,-4,20
518,Gold,78,-3,20
519,Brown,17,28,25
520,Brown,28,15,25
521,Green,54,-3,29
522,Green,44,-12,36
523,Green,41,-6,35
524,Silver,56,4,11
525,Silver,57,2,12
526,Gold,53,6,20
527,Gold,55,7,21
528,Brown,33,17,31
529,Green,66,-16,43
530,Green,64,-17,46
531,Green,65,-13,43
532,Silver,82,-3,7
533,Silver,78,-3,10
534,Gold,91,-4,22
535,Gold,75,3,15
536,Gold,90,1,15
537,Gold,85,1,14
538,Brown,30,14,9
539,Brown,25,13,14
540,Green,65,-17,27
541,Green,63,-16,26
542,Silver,83,5,-3
543,Silver,81,5,-2
544,Silver,83,3,3
545,Brown,25,16,23
546,Brown,30,12,22
547,Green,73,-9,20
548,Green,56,-10,21
549,Green,51,-14,28
550,Green,58,-12,27
551,Silver,86,3,6
552,Silver,82,2,6
553,Silver,84,1,10
554,Gold,96,-3,16
555,Gold,94,-2,18
556,Gold,89,1,15
557,Brown,30,19,7
558,Brown,37,17,5
559,Green,56,-22,26
560,Green,58,-23,28
561,Green,70,-11,19
562,Silver,78,3,-15
563,Silver,78,2,-17
564,Silver,80,3,-9
565,Gold,83,-1,19
566,Gold,83,-1,19
567,Brown,34,13,8
568,Brown,15,23,15
569,Brown,14,23,16
570,Green,43,-32,38
571,Green,47,-30,37
572,Silver,68,-1,-15
573,Silver,68,-2,-11
574,Gold,65,1,25
575,Gold,58,0,27
576,Gold,59,1,26
577,Green,41,-21,13
578,Green,36,-23,15
579,Blue,39,-2,-27
580,Blue,12,12,-33
581,Blue,12,13,-32
582,Blue,57,-3,-11
583,Silver,83,1,10
584,Silver,81,-2,9
585,Silver,82,-2,10
586,Gold,75,2,39
587,Gold,73,2,40
588,Gold,71,3,39
589,Green,33,-17,25
590,Green,19,-23,17
591,Green,18,-22,18
592,Blue,10,14,-33
593,Blue,9,16,-34
594,Blue,20,1,-16
595,Silver,79,1,5
596,Silver,76,1,7
597,Gold,56,6,41
598,Gold,59,6,43
599,Gold,65,4,42
600,Gold,60,5,40
601,Green,49,-22,19
602,Green,34,-29,21
603,Green,36,-26,20
604,Blue,39,9,-33
605,Blue,27,25,-52
606,Blue,27,26,-54
607,Blue,31,22,-52
608,Silver,75,2,-8
609,Silver,76,5,-10
610,Silver,76,6,-9
611,Gold,74,3,22
612,Green,44,-29,20
613,Green,33,-32,20
614,Green,40,-32,18
615,Blue,40,13,-39
616,Blue,26,25,-54
617,Blue,24,28,-56
618,Blue,28,22,-51
619,Silver,82,2,-6
620,Silver,85,-2,-12
621,Silver,84,-2,-12
622,Gold,80,2,26
623,Gold,80,3,27
624,Green,27,-27,17
625,Green,50,-13,22
626,Green,31,-26,14
627,Blue,17,14,-34
628,Blue,14,26,-46
629,Blue,14,25,-45
630,Blue,25,8,-27
631,Silver,55,2,-7
632,Silver,58,0,0
633,Silver,55,1,1
634,Gold,44,4,29
635,Gold,42,5,29
636,Green,70,-44,32
637,Green,67,-53,31
638,Green,64,-51,24
639,Green,65,-42,18
640,Blue,45,24,-67
641,Blue,44,33,-75
642,Blue,48,21,-65
643,Blue,59,8,-48
644,Silver,90,-5,-11
645,Silver,90,-5,-14
646,Silver,91,-7,-3
647,Gold,81,-5,37
648,Gold,83,-4,36
649,Gold,87,-2,30
650,Green,50,-49,34
651,Green,54,-50,29
652,Blue,39,20,-60
653,Blue,36,31,-69
654,Blue,38,29,-68
655,Blue,45,16,-58
656,Silver,89,-4,-6
657,Silver,87,-3,-16
658,Silver,88,-4,-16
659,Silver,89,-7,-6
660,Gold,85,-7,35
661,Gold,85,-9,37
662,Gold,83,-8,37
663,Gold,88,-7,32
664,Green,62,-42,41
665,Green,46,-48,42
666,Green,60,-45,38
667,Blue,33,33,-69
668,Blue,33,34,-69
669,Blue,32,31,-65
670,Silver,87,-6,7
671,Silver,88,-8,4
672,Gold,77,0,44
673,Gold,75,-1,47
674,Gold,76,-1,47
675,Gold,78,1,45
676,Green,54,-28,26
677,Green,32,-35,27
678,Green,36,-36,19
679,Green,45,-34,18
680,Blue,25,15,-45
681,Blue,25,29,-59
682,Blue,27,28,-59
683,Silver,72,-4,-14
684,Silver,72,-4,-13
685,Gold,67,-4,23
686,Gold,68,-8,29
687,Gold,65,-6,30
688,Orange,49,43,52
689,Orange,50,39,47
690,White,88,6,-2
691,White,89,2,4
692,White,88,3,7
693,Silver,81,5,-3
694,Silver,81,4,3
695,Gold,78,6,36
696,Orange,51,37,48
697,Orange,56,34,41
698,Orange,61,27,34
699,Orange,60,22,29
700,White,90,6,-4
701,White,90,6,0
702,Silver,86,1,9
703,Silver,85,3,15
704,Silver,77,4,9
705,Gold,89,5,33
706,Gold,87,4,34
707,Gold,81,5,35
708,Gold,83,6,29
709,Orange,68,24,34
710,Orange,66,22,31
711,White,92,6,-2
712,White,90,5,-3
713,White,94,6,4
714,White,92,4,6
715,Gold,86,7,31
716,Gold,86,6,32
717,Gold,83,7,31
718,Gold,82,7,29
719,Orange,63,20,39
720,Orange,55,34,46
721,Orange,52,37,47
722,Orange,45,34,42
723,White,89,4,0
724,White,89,5,3
725,White,89,3,9
726,Silver,89,-2,9
727,Silver,86,-2,8
728,Gold,90,4,27
729,Gold,90,4,30
730,Gold,90,3,31
731,White,89,5,-4
732,White,89,5,-3
733,Silver,84,4,5
734,Silver,79,3,10
735,Silver,83,3,10
736,Gold,89,5,27
737,Gold,85,6,31
738,Orange,56,27,40
739,Orange,57,29,40
740,White,86,1,-13
741,White,87,2,-17
742,White,87,2,-18
743,White,87,1,-18
744,Silver,82,0,-8
745,Silver,83,-1,-6
746,Silver,81,-2,-5
747,Gold,79,-1,24
748,Gold,79,-1,24
749,Gold,80,-1,23
750,Orange,47,21,37
751,Orange,38,34,44
752,Orange,34,36,43
753,Orange,34,38,44
754,White,76,2,-14
755,White,78,1,-12
756,Silver,60,-3,4
757,Silver,58,-2,10
758,Gold,50,2,29
759,Gold,51,5,28
760,Gold,53,3,30
761,Orange,38,34,44
762,Orange,34,37,43
763,Orange,34,36,44
764,White,76,2,-14
765,White,78,1,-12
766,White,75,-5,1
767,White,76,0,-7
768,Silver,61,-3,7
769,Silver,60,-3,4
770,Gold,48,3,25
771,Gold,50,3,29
772,Gold,51,6,26
773,Gold,53,3,30
774,Orange,55,34,41
775,Orange,51,34,40
776,White,88,2,-8
777,White,89,0,-17
778,White,88,0,-17
779,Silver,83,-1,-10
780,Silver,83,1,-14
781,Silver,80,2,-12
782,Gold,75,2,24
783,Gold,73,2,24
784,Gold,76,0,24
785,Orange,54,24,40
786,Orange,41,43,50
787,Orange,42,42,51
788,Orange,40,37,45
789,White,85,0,-14
790,White,85,1,-16
791,Silver,69,-6,3
792,Silver,70,-5,2
793,Silver,71,-4,7
794,Gold,77,-3,20
795,Gold,79,-3,19
796,Orange,59,34,33
797,Orange,60,27,32
798,Orange,69,18,27
799,White,89,1,-14
800,White,88,1,-17
801,White,89,2,-16
802,Silver,86,-1,-11
803,Silver,84,2,-13
804,Gold,77,-1,16
805,Gold,77,-2,17
806,Red,37,44,-6
807,Red,32,47,0
808,Red,32,46,-2
809,Red,46,35,-16
810,Purple,21,40,-57
811,Purple,41,22,-41
812,Purple,28,33,-50
813,Silver,80,-6,-26
814,Silver,80,-7,-28
815,Silver,73,-4,-23
816,Gold,79,-12,7
817,Gold,80,-12,7
818,Red,38,34,16
819,Red,27,49,31
820,Red,25,48,29
821,Purple,16,38,-50
822,Purple,12,40,-54
823,Silver,63,-1,-31
824,Silver,65,-1,-31
825,Silver,72,-3,-23
826,Gold,74,-12,16
827,Gold,82,-12,15
828,Red,30,49,11
829,Red,28,48,11
830,Red,31,44,5
831,Red,30,46,-5
832,Purple,43,21,-33
833,Purple,34,31,-48
834,Purple,26,32,-51
835,Purple,41,21,-38
836,Silver,72,-4,-18
837,Silver,72,-5,-27
838,Silver,76,-3,-29
839,Silver,80,-3,-21
840,Gold,80,-11,4
841,Gold,80,-12,9
842,Red,30,39,17
843,Red,26,44,23
844,Red,26,42,20
845,Red,33,34,12
846,Purple,28,20,-28
847,Purple,12,31,-42
848,Purple,15,32,-46
849,Silver,54,0,-16
850,Silver,53,-1,-19
851,Silver,55,-3,-14
852,Gold,54,-7,16
853,Gold,50,-7,16
854,Red,36,56,20
855,Gold,37,56,18
856,Red,40,47,11
857,Purple,42,28,-35
858,Purple,33,35,-44
859,Purple,48,22,-30
860,Purple,59,21,-24
861,Silver,82,0,-12
862,Silver,82,-1,-16
863,Silver,82,1,-18
864,Silver,82,1,-13
865,Gold,86,-3,17
866,Red,31,50,15
867,Red,32,52,17
868,Red,37,49,8
869,Purple,34,30,-36
870,Purple,31,35,-42
871,Silver,74,0,-17
872,Silver,75,-2,-15
873,Gold,74,-4,20
874,Gold,76,-4,24
875,Gold,76,-2,20
876,Red,36,44,19
877,Red,34,53,23
878,Red,34,53,22
879,Red,32,51,23
880,Red,38,35,13
881,Purple,27,36,-43
882,Purple,23,41,-51
883,Purple,30,28,-35
884,Silver,78,-4,-8
885,Silver,79,-3,-16
886,Silver,80,-1,-14
887,Gold,80,-12,22
888,Gold,81,-10,22
889,Red,26,40,18
890,Red,24,39,20
891,Red,28,38,19
892,Purple,29,19,-33
893,Purple,22,22,-37
894,Purple,30,14,-28
895,Silver,62,-1,-13
896,Silver,64,1,-13
897,Silver,67,1,-8
898,Gold,70,-7,17
899,Gold,72,-7,19
900,Gold,67,-6,18
901,Gold,68,-6,19
902,Red,39,60,30
903,Red,39,60,30
904,Red,37,56,28
905,Purple,41,33,-36
906,Purple,36,33,-40
907,Purple,46,24,-29
908,Purple,54,22,-20
909,Silver,73,-3,-16
910,Silver,72,-2,-17
911,Gold,74,-8,29
912,Gold,74,-7,30
913,Red,39,52,15
914,Red,39,56,13
915,Red,40,56,10
916,Red,38,50,8
917,Purple,43,31,-37
918,Purple,33,32,-41
919,Silver,82,-4,-14
920,Silver,78,-1,-17
921,Gold,82,-10,26
922,Gold,85,-9,23
923,Yellow,85,-15,40
924,Yellow,85,-15,40
925,Yellow,85,-14,36
926,Purple,30,41,-63
927,Purple,27,48,-70
928,Purple,29,42,-64
929,Silver,79,-1,-8
930,Silver,79,0,-8
931,Silver,79,1,-3
932,Gold,78,1,27
933,Gold,81,2,28
934,Gold,82,1,26
935,Yellow,82,-14,46
936,Yellow,81,-15,56
937,Yellow,81,-16,55
938,Purple,20,39,-56
939,Purple,15,46,-63
940,Purple,17,45,-63
941,Silver,71,-1,-9
942,Silver,71,-2,-12
943,Silver,74,-4,-5
944,Gold,61,-3,25
945,Yellow,73,-14,54
946,Yellow,74,-13,54
947,Yellow,73,-16,52
948,Yellow,69,-16,43
949,Purple,25,31,-48
950,Purple,16,40,-57
951,Purple,20,36,-51
952,Silver,63,-2,-6
953,Silver,65,-3,-1
954,Silver,65,-1,-2
955,Gold,76,-1,35
956,Gold,75,1,34
957,Yellow,83,-17,51
958,Yellow,82,-16,56
959,Yellow,82,-15,53
960,Yellow,79,-15,43
961,Purple,28,29,-46
962,Purple,18,48,-65
963,Purple,18,47,-65
964,Silver,72,-4,-6
965,Silver,72,-3,-12
966,Gold,80,-3,17
967,Gold,78,-3,15
968,Gold,64,-4,25
969,Yellow,60,-10,48
970,Yellow,61,-11,50
971,Purple,16,32,-45
972,Purple,15,34,-49
973,Purple,19,29,-42
974,Silver,58,-6,8
975,Gold,72,-2,25
976,Yellow,83,-6,36
977,Yellow,83,-9,42
978,Yellow,82,-11,48
979,Yellow,81,-9,45
980,Purple,38,34,-47
981,Purple,32,43,-58
982,Purple,43,32,-41
983,Silver,80,0,-5
984,Silver,80,-1,-4
985,Silver,79,0,1
986,Gold,86,-1,32
987,Gold,91,-2,31
988,Gold,89,-1,31
989,Gold,80,1,28
990,Yellow,75,-8,55
991,Yellow,74,-10,59
992,Yellow,74,-9,53
993,Purple,21,44,-58
994,Purple,20,42,-57
995,Silver,72,-1,5
996,Silver,70,-4,0
997,Gold,80,-1,23
998,Gold,80,-2,25
999,Yellow,73,-4,53
1000,Yellow,71,-3,54
1001,Purple,15,27,-35
1002,Purple,15,33,-43
1003,Purple,14,30,-39
1004,Silver,69,3,6
1005,Gold,85,-3,29
1006,Gold,86,-4,32
1007,Gold,84,2,36
1008,Yellow,72,-3,48
1009,Yellow,72,-5,54
1010,Yellow,72,-5,53
1011,Purple,12,27,-36
1012,Purple,16,32,-44
1013,Purple,14,26,-37
1014,Silver,69,1,8
1015,Silver,69,1,8
1016,Silver,66,2,12
1017,Gold,89,1,26
1018,Gold,89,0,27
1019,Gold,82,-1,33
1020,Yellow,79,-3,44
1021,Yellow,79,-4,48
1022,Yellow,79,-4,49
1023,Yellow,76,-3,46
1024,Purple,19,33,-44
1025,Purple,20,34,-45
1026,Silver,74,2,10
1027,Gold,86,4,38
1028,Gold,86,4,38
