id,label,L,a,b
220,Black,32,9,-32
221,Black,34,13,-48
222,Brown,52,36,16
223,Brown,53,31,5
224,Brown,49,35,10
225,Brown,52,32,24
226,Brown,51,29,8
227,Brown,54,26,10
228,Brown,21,19,1
229,Brown,21,18,2
230,Black,16,9,-25
231,Black,18,5,-21
232,Black,22,5,-21
233,Black,4,24,-39
234,Black,5,17,-29
235,Black,5,17,-29
236,Black,6,18,-29
237,Black,4,22,-34
238,Orange,38,28,31
239,Orange,39,29,34
240,Orange,40,29,35
241,Orange,38,29,34
242,Orange,37,24,18
243,Brown,20,23,2
244,Brown,21,22,5
245,Brown,20,24,7
246,Brown,21,24,6
247,Brown,21,25,-7
248,Brown,69,14,8
249,Brown,70,15,9
250,Brown,66,15,-1
251,Black,31,-4,-23
252,Orange,80,17,47
253,Orange,80,16,45
254,Orange,81,13,27
255,Brown,68,18,11
256,Brown,61,23,15
257,Brown,61,22,14
258,Orange,82,10,25
259,Brown,76,15,-1
260,Brown,74,13,-2
261,Black,45,-7,-18
262,Black,43,-4,-27
263,Orange,86,8,21
264,Orange,83,12,32
265,Orange,84,14,33
266,Orange,86,12,19
267,Brown,74,16,5
268,Brown,73,18,13
269,Brown,71,20,13
270,Brown,70,20,0
271,Brown,27,25,-7
272,Brown,29,24,-5
273,Brown,28,21,-8
274,Brown,27,22,-13
275,Black,13,11,-28
276,Black,12,15,-33
277,Black,4,26,-39
278,Black,5,21,-35
279,Black,5,22,-36
280,Orange,40,23,26
281,Orange,41,23,31
282,Orange,41,21,31
283,Orange,41,22,24
284,Brown,22,25,4
285,Brown,24,23,8
286,Brown,22,25,4
287,Brown,21,26,4
288,Brown,29,22,-11
289,Brown,30,20,2
290,Brown,30,20,3
291,Black,12,14,-34
292,Black,16,8,-25
293,Black,13,12,-30
294,Black,12,16,-36
295,Black,7,16,-32
296,Black,9,13,-31
297,Orange,42,25,26
298,Orange,43,27,29
299,Orange,42,24,29
300,Orange,42,24,19
301,Brown,24,24,0
302,Brown,25,22,5
303,Brown,23,28,4
304,Brown,23,26,-3
305,Black,14,8,-6
306,Black,26,6,-25
307,Black,26,5,-24
308,Orange,58,17,21
309,Orange,58,18,23
310,Orange,58,19,23
311,Orange,60,17,15
312,Brown,35,14,3
313,Brown,40,13,2
314,Brown,27,20,-8
315,Brown,34,12,-9
316,Brown,43,12,0
317,Brown,49,10,3
318,Brown,48,11,-2
319,Black,5,17,-31
320,Black,13,18,-35
321,Black,13,18,-31
322,Orange,53,21,10
323,Orange,54,23,18
324,Orange,57,21,23
325,Orange,58,20,20
326,Brown,45,18,-8
327,Brown,59,14,-1
328,Brown,60,15,-3
329,Brown,38,20,-19
330,Brown,27,22,1
331,Brown,28,22,3
332,Brown,27,21,-1
333,Brown,27,22,-4
334,Black,13,7,-22
335,Black,12,11,-29
336,Black,7,17,-31
337,Black,7,19,-32
338,Orange,41,25,24
339,Orange,41,25,30
340,Orange,40,25,34
341,Orange,41,24,30
342,Brown,22,29,4
343,Brown,25,27,8
344,Brown,25,26,8
345,Brown,25,26,8
346,Brown,74,13,0
347,Brown,74,14,-2
348,Black,47,-7,-18
349,Black,37,-1,-30
350,Orange,87,8,17
351,Orange,85,11,29
352,Orange,84,13,36
353,Orange,85,12,30
354,Orange,87,10,14
355,Brown,75,16,7
356,Brown,73,20,13
357,Brown,71,19,12
358,Brown,69,19,3
359,Brown,43,14,-14
360,Brown,48,12,-4
361,Black,5,23,-37
362,Black,3,23,-37
363,Red,31,33,-7
364,Red,30,33,-6
365,Black,17,6,-29
366,Black,19,5,-29
367,Black,18,11,-35
368,Brown,29,19,2
369,Brown,31,19,5
370,Brown,34,17,2
371,Brown,38,14,2
372,Brown,34,18,2
373,Brown,36,14,-4
374,Brown,18,26,18
375,Brown,21,26,20
376,Brown,21,27,16
377,Black,6,21,-34
378,Black,6,19,-31
379,Black,7,16,-27
380,Black,5,20,-32
381,Red,23,38,11
382,Red,24,39,21
383,Red,24,38,12
384,Brown,31,16,5
385,Brown,33,20,6
386,Brown,38,16,4
387,Brown,19,20,1
388,Brown,20,21,10
389,Brown,20,21,10
390,Brown,20,22,12
391,Black,5,21,-33
392,Black,5,20,-32
393,Black,5,17,-28
394,Black,3,21,-32
395,Black,6,21,-33
396,Red,22,33,6
397,Red,18,37,26
398,Red,18,37,24
399,Brown,23,20,12
400,Brown,24,17,4
401,Brown,20,22,14
402,Brown,26,23,15
403,Brown,30,26,12
404,Brown,34,18,4
405,Black,7,19,-32
406,Black,7,20,-31
407,Black,9,18,-29
408,Black,15,7,-20
409,Black,14,13,-33
410,Red,17,37,16
411,Red,21,39,26
412,Red,21,40,27
413,Red,16,36,11
414,Brown,32,8,6
415,Brown,25,13,7
416,Brown,30,14,2
417,Brown,27,16,-7
418,Brown,18,22,11
419,Brown,19,28,17
420,Brown,18,26,13
421,Brown,18,25,14
422,Black,6,16,-29
423,Black,4,19,-31
424,Black,3,17,-30
425,Black,7,15,-23
426,Red,21,36,20
427,Red,22,36,18
428,Red,22,35,14
429,Brown,27,18,9
430,Brown,25,16,3
431,Brown,27,16,9
432,Brown,61,9,15
433,Brown,54,9,20
434,Brown,42,12,18
435,Brown,45,8,17
436,Black,24,-5,-22
437,Red,31,39,15
438,Red,28,36,8
439,Red,42,27,-2
440,Brown,46,15,16
441,Brown,42,13,14
442,Brown,50,8,14
443,Brown,37,20,12
444,Brown,38,18,18
445,Brown,35,20,21
446,Brown,29,23,17
447,Black,16,7,-19
448,Black,15,4,-24
449,Black,12,5,-22
450,Black,12,3,-19
451,Red,24,44,23
452,Red,28,44,26
453,Red,27,44,22
454,Red,25,38,7
455,Brown,49,11,13
456,Brown,44,18,9
457,Brown,36,8,-11
458,Brown,38,23,17
459,Brown,35,25,16
460,Brown,29,24,8
461,Brown,33,14,4
462,Black,13,6,-21
463,Black,10,13,-33
464,Black,12,10,-30
465,Black,18,1,-23
466,Black,20,-2,-16
467,Red,25,44,7
468,Red,27,47,29
469,Red,26,44,18
470,Red,28,36,-8
471,Brown,48,8,9
472,Brown,34,23,24
473,Brown,35,22,20
474,Brown,34,24,23
475,Brown,36,23,21
476,Black,12,9,-23
477,Black,14,5,-23
478,Black,17,8,-30
479,Black,10,11,-27
480,Black,13,9,-31
481,Red,29,36,0
482,Red,29,45,27
483,Red,27,43,21
484,Red,30,30,-9
485,Brown,41,15,15
486,Brown,41,17,12
487,Brown,42,18,17
488,Brown,42,19,12
489,Brown,41,20,17
490,Brown,36,19,17
491,Black,18,1,-24
492,Black,15,5,-22
493,Black,24,1,-16
494,Black,22,-3,-18
495,Red,26,39,11
496,Red,27,44,26
497,Red,26,43,23
498,Red,23,39,6
499,Brown,51,12,14
500,Brown,50,12,12
501,Brown,55,8,6
502,Green,47,-24,0
503,Green,45,-27,3
504,Green,48,-22,1
505,Silver,69,0,-28
506,Silver,70,2,-30
507,Silver,68,2,-24
508,Gold,85,-9,0
509,Gold,89,-9,1
510,Gold,88,-8,1
511,Brown,9,9,7
512,Brown,20,9,10
513,Green,44,-10,18
514,Green,33,-12,20
515,Green,49,-8,16
516,Silver,61,-1,-4
517,Silver,59,0,-8
518,Silver,60,1,-8
519,Gold,61,-2,7
520,Gold,62,-2,7
521,Gold,63,-2,7
522,Brown,29,7,22
523,Brown,59,5,17
524,Brown,65,5,20
525,Green,78,-10,27
526,Green,59,-12,31
527,Green,63,-10,29
528,Silver,83,-2,14
529,Gold,81,-3,20
530,Gold,91,-4,20
531,Gold,78,-3,20
532,Brown,17,28,25
533,Brown,28,15,25
534,Green,54,-3,29
535,Green,44,-12,36
536,Green,41,-6,35
537,Silver,56,4,11
538,Silver,57,2,12
539,Gold,53,6,20
540,Gold,55,7,21
541,Brown,33,17,31
542,Green,66,-16,43
543,Green,64,-17,46
544,Green,65,-13,43
545,Silver,82,-3,7
546,Silver,78,-3,10
547,Gold,91,-4,22
548,Gold,75,3,15
549,Gold,90,1,15
550,Gold,85,1,14
551,Brown,30,14,9
552,Brown,25,13,14
553,Green,65,-17,27
554,Green,63,-16,26
555,Silver,83,5,-3
556,Silver,81,5,-2
557,Silver,83,3,3
558,Brown,25,16,23
559,Brown,30,12,22
560,Green,73,-9,20
561,Green,56,-10,21
562,Green,51,-14,28
563,Green,58,-12,27
564,Silver,86,3,6
565,Silver,82,2,6
566,Silver,84,1,10
567,Gold,96,-3,16
568,Gold,94,-2,18
569,Gold,89,1,15
570,Brown,30,19,7
571,Brown,37,17,5
572,Green,56,-22,26
573,Green,58,-23,28
574,Green,70,-11,19
575,Silver,78,3,-15
576,Silver,78,2,-17
577,Silver,80,3,-9
578,Gold,83,-1,19
579,Gold,83,-1,19
580,Brown,34,13,8
581,Brown,15,23,15
582,Brown,14,23,16
583,Green,43,-32,38
584,Green,47,-30,37
585,Silver,68,-1,-15
586,Silver,68,-2,-11
587,Gold,65,1,25
588,Gold,58,0,27
589,Gold,59,1,26
590,Green,41,-21,13
591,Green,36,-23,15
592,Blue,39,-2,-27
593,Blue,12,12,-33
594,Blue,12,13,-32
595,Blue,57,-3,-11
596,Silver,83,1,10
597,Silver,81,-2,9
598,Silver,82,-2,10
599,Gold,75,2,39
600,Gold,73,2,40
601,Gold,71,3,39
602,Gold,72,2,36
603,Green,33,-17,25
604,Green,19,-23,17
605,Green,18,-22,18
606,Blue,10,14,-33
607,Blue,9,16,-34
608,Blue,20,1,-16
609,Silver,79,1,5
610,Silver,76,1,7
611,Gold,56,6,41
612,Gold,59,6,43
613,Gold,65,4,42
614,Gold,60,5,40
615,Silver,71,2,12
616,Green,36,-16,16
617,Green,27,-19,19
618,Blue,45,-1,-15
619,Blue,29,7,-32
620,Blue,32,0,-20
621,Silver,79,2,5
622,Silver,76,1,7
623,Silver,78,0,9
624,Gold,70,4,27
625,Gold,73,6,32
626,Gold,73,5,32
627,Gold,67,4,39
628,Green,49,-22,19
629,Green,34,-29,21
630,Green,36,-26,20
631,Blue,39,9,-33
632,Blue,27,25,-52
633,Blue,27,26,-54
634,Blue,31,22,-52
635,Silver,75,2,-8
636,Silver,76,5,-10
637,Silver,76,6,-9
638,Gold,74,3,22
639,Green,44,-29,20
640,Green,33,-32,20
641,Green,40,-32,18
642,Blue,40,13,-39
643,Blue,26,25,-54
644,Blue,24,28,-56
645,Blue,28,22,-51
646,Silver,82,2,-6
647,Silver,85,-2,-12
648,Silver,84,-2,-12
649,Gold,80,2,26
650,Gold,80,3,27
651,Green,27,-27,17
652,Green,50,-13,22
653,Green,31,-26,14
654,Blue,17,14,-34
655,Blue,14,26,-46
656,Blue,14,25,-45
657,Blue,25,8,-27
658,Silver,55,2,-7
659,Silver,58,0,0
660,Silver,55,1,1
661,Gold,44,4,29
662,Gold,42,5,29
663,Green,70,-44,32
664,Green,67,-53,31
665,Green,64,-51,24
666,Green,65,-42,18
667,Blue,45,24,-67
668,Blue,44,33,-75
669,Blue,48,21,-65
670,Blue,59,8,-48
671,Silver,90,-5,-11
672,Silver,90,-5,-14
673,Silver,91,-7,-3
674,Gold,81,-5,37
675,Gold,83,-4,36
676,Gold,87,-2,30
677,Green,50,-49,34
678,Green,54,-50,29
679,Blue,39,20,-60
680,Blue,36,31,-69
681,Blue,38,29,-68
682,Blue,45,16,-58
683,Silver,89,-4,-6
684,Silver,87,-3,-16
685,Silver,88,-4,-16
686,Silver,89,-7,-6
687,Gold,85,-7,35
688,Gold,85,-9,37
689,Gold,83,-8,37
690,Gold,88,-7,32
691,Green,62,-42,41
692,Green,46,-48,42
693,Green,60,-45,38
694,Blue,33,33,-69
695,Blue,33,34,-69
696,Blue,32,31,-65
697,Silver,87,-6,7
698,Silver,88,-8,4
699,Gold,77,0,44
700,Gold,75,-1,47
701,Gold,76,-1,47
702,Gold,78,1,45
703,Green,54,-28,26
704,Green,32,-35,27
705,Green,36,-36,19
706,Green,45,-34,18
707,Blue,25,15,-45
708,Blue,25,29,-59
709,Blue,27,28,-59
710,Silver,72,-4,-14
711,Silver,72,-4,-13
712,Gold,67,-4,23
713,Gold,68,-8,29
714,Gold,65,-6,30
715,Orange,49,43,52
716,Orange,50,39,47
717,White,88,6,-2
718,White,89,2,4
719,White,88,3,7
720,Silver,81,5,-3
721,Silver,81,4,3
722,Gold,78,6,36
723,Orange,51,37,48
724,Orange,56,34,41
725,Orange,61,27,34
726,Orange,60,22,29
727,White,90,6,-4
728,White,90,6,0
729,Silver,86,1,9
730,Silver,85,3,15
731,Silver,77,4,9
732,Gold,89,5,33
733,Gold,87,4,34
734,Gold,81,5,35
735,Gold,83,6,29
736,White,89,4,9
737,Orange,68,24,34
738,Orange,66,22,31
739,White,92,6,-2
740,White,90,5,-3
741,White,94,6,4
742,White,92,4,6
743,Gold,86,7,31
744,Gold,86,6,32
745,Gold,83,7,31
746,Gold,82,7,29
747,Orange,63,20,39
748,Orange,55,34,46
749,Orange,52,37,47
750,Orange,45,34,42
751,White,89,4,0
752,White,89,5,3
753,White,89,3,9
754,Silver,89,-2,9
755,Silver,86,-2,8
756,Gold,90,4,27
757,Gold,90,4,30
758,Gold,90,3,31
759,White,89,5,-4
760,White,89,5,-3
761,Silver,84,4,5
762,Silver,79,3,10
763,Silver,83,3,10
764,Gold,89,5,27
765,Gold,85,6,31
766,Orange,56,27,40
767,Orange,57,29,40
768,White,86,1,-13
769,White,87,2,-17
770,White,87,2,-18
771,White,87,1,-18
772,Silver,82,0,-8
773,Silver,83,-1,-6
774,Silver,81,-2,-5
775,Gold,79,-1,24
776,Gold,79,-1,24
777,Gold,80,-1,23
778,White,87,2,-15
779,Orange,47,21,37
780,Orange,38,34,44
781,Orange,34,36,43
782,Orange,34,38,44
783,White,76,2,-14
784,White,78,1,-12
785,Silver,60,-3,4
786,Silver,58,-2,10
787,Gold,50,2,29
788,Gold,51,5,28
789,Gold,53,3,30
790,White,75,-4,-1
791,White,76,-1,-6
792,Orange,38,34,44
793,Orange,34,37,43
794,Orange,34,36,44
795,White,76,2,-14
796,White,78,1,-12
797,White,75,-5,1
798,White,76,0,-7
799,Silver,61,-3,7
800,Silver,60,-3,4
801,Gold,48,3,25
802,Gold,50,3,29
803,Gold,51,6,26
804,Gold,53,3,30
805,Orange,55,34,41
806,Orange,51,34,40
807,White,88,2,-8
808,White,89,0,-17
809,White,88,0,-17
810,Silver,83,-1,-10
811,Silver,83,1,-14
812,Silver,80,2,-12
813,Gold,75,2,24
814,Gold,73,2,24
815,Gold,76,0,24
816,Orange,54,24,40
817,Orange,41,43,50
818,Orange,42,42,51
819,Orange,40,37,45
820,White,85,0,-14
821,White,85,1,-16
822,Silver,69,-6,3
823,Silver,70,-5,2
824,Silver,71,-4,7
825,Gold,77,-3,20
826,Gold,79,-3,19
827,Orange,59,34,33
828,Orange,60,27,32
829,Orange,69,18,27
830,White,89,1,-14
831,White,88,1,-17
832,White,89,2,-16
833,Silver,86,-1,-11
834,Silver,84,2,-13
835,Gold,77,-1,16
836,Gold,77,-2,17
837,Red,37,44,-6
838,Red,32,47,0
839,Red,32,46,-2
840,Red,46,35,-16
841,Purple,21,40,-57
842,Purple,41,22,-41
843,Purple,28,33,-50
844,Silver,80,-6,-26
845,Silver,80,-7,-28
846,Silver,73,-4,-23
847,Gold,79,-12,7
848,Gold,80,-12,7
849,Red,38,34,16
850,Red,27,49,31
851,Red,25,48,29
852,Purple,16,38,-50
853,Purple,12,40,-54
854,Silver,63,-1,-31
855,Silver,65,-1,-31
856,Silver,72,-3,-23
857,Gold,74,-12,16
858,Gold,82,-12,15
859,Red,30,49,11
860,Red,28,48,11
861,Red,31,44,5
862,Red,30,46,-5
863,Purple,43,21,-33
864,Purple,34,31,-48
865,Purple,26,32,-51
866,Purple,41,21,-38
867,Silver,72,-4,-18
868,Silver,72,-5,-27
869,Silver,76,-3,-29
870,Silver,80,-3,-21
871,Gold,80,-11,4
872,Gold,80,-12,9
873,Red,30,39,17
874,Red,26,44,23
875,Red,26,42,20
876,Red,33,34,12
877,Purple,28,20,-28
878,Purple,12,31,-42
879,Purple,15,32,-46
880,Silver,54,0,-16
881,Silver,53,-1,-19
882,Silver,55,-3,-14
883,Gold,54,-7,16
884,Gold,50,-7,16
885,Red,36,56,20
886,Gold,37,56,18
887,Red,40,47,11
888,Purple,42,28,-35
889,Purple,33,35,-44
890,Purple,48,22,-30
891,Purple,59,21,-24
892,Silver,82,0,-12
893,Silver,82,-1,-16
894,Silver,82,1,-18
895,Silver,82,1,-13
896,Gold,86,-3,17
897,Red,31,50,15
898,Red,32,52,17
899,Red,37,49,8
900,Purple,34,30,-36
901,Purple,31,35,-42
902,Silver,74,0,-17
903,Silver,75,-2,-15
904,Gold,74,-4,20
905,Gold,76,-4,24
906,Gold,76,-2,20
907,Red,36,44,19
908,Red,34,53,23
909,Red,34,53,22
910,Red,32,51,23
911,Red,38,35,13
912,Purple,27,36,-43
913,Purple,23,41,-51
914,Purple,30,28,-35
915,Silver,78,-4,-8
916,Silver,79,-3,-16
917,Silver,80,-1,-14
918,Gold,80,-12,22
919,Gold,81,-10,22
920,Red,26,40,18
921,Red,24,39,20
922,Red,28,38,19
923,Purple,29,19,-33
924,Purple,22,22,-37
925,Purple,30,14,-28
926,Silver,62,-1,-13
927,Silver,64,1,-13
928,Silver,67,1,-8
929,Gold,70,-7,17
930,Gold,72,-7,19
931,Gold,67,-6,18
932,Gold,68,-6,19
933,Red,39,60,30
934,Red,39,60,30
935,Red,37,56,28
936,Purple,41,33,-36
937,Purple,36,33,-40
938,Purple,46,24,-29
939,Purple,54,22,-20
940,Silver,73,-3,-16
941,Silver,72,-2,-17
942,Gold,74,-8,29
943,Gold,74,-7,30
944,Red,39,52,15
945,Red,39,56,13
946,Red,40,56,10
947,Red,38,50,8
948,Purple,43,31,-37
949,Purple,33,32,-41
950,Silver,82,-4,-14
951,Silver,78,-1,-17
952,Gold,82,-10,26
953,Gold,85,-9,23
954,Silver,79,-1,-7
955,Yellow,85,-15,40
956,Yellow,85,-15,40
957,Yellow,85,-14,36
958,Purple,30,41,-63
959,Purple,27,48,-70
960,Purple,29,42,-64
961,Silver,79,-1,-8
962,Silver,79,0,-8
963,Silver,79,1,-3
964,Gold,78,1,27
965,Gold,81,2,28
966,Gold,82,1,26
967,Yellow,82,-14,46
968,Yellow,81,-15,56
969,Yellow,81,-16,55
970,Purple,20,39,-56
971,Purple,15,46,-63
972,Purple,17,45,-63
973,Silver,71,-1,-9
974,Silver,71,-2,-12
975,Silver,74,-4,-5
976,Gold,61,-3,25
977,Purple,29,29,-46
978,Yellow,73,-14,54
979,Yellow,74,-13,54
980,Yellow,73,-16,52
981,Yellow,69,-16,43
982,Purple,25,31,-48
983,Purple,16,40,-57
984,Purple,20,36,-51
985,Silver,63,-2,-6
986,Silver,65,-3,-1
987,Silver,65,-1,-2
988,Gold,76,-1,35
989,Gold,75,1,34
990,Yellow,83,-17,51
991,Yellow,82,-16,56
992,Yellow,82,-15,53
993,Yellow,79,-15,43
994,Purple,28,29,-46
995,Purple,18,48,-65
996,Purple,18,47,-65
997,Silver,72,-4,-6
998,Silver,72,-3,-12
999,Gold,80,-3,17
1000,Gold,78,-3,15
1001,Gold,64,-4,25
1002,Yellow,60,-10,48
1003,Yellow,61,-11,50
1004,Purple,16,32,-45
1005,Purple,15,34,-49
1006,Purple,19,29,-42
1007,Silver,58,-6,8
1008,Gold,72,-2,25
1009,Yellow,83,-6,36
1010,Yellow,83,-9,42
1011,Yellow,82,-11,48
1012,Yellow,81,-9,45
1013,Purple,38,34,-47
1014,Purple,32,43,-58
1015,Purple,43,32,-41
1016,Silver,80,0,-5
1017,Silver,80,-1,-4
1018,Silver,79,0,1
1019,Gold,86,-1,32
1020,Gold,91,-2,31
1021,Gold,89,-1,31
1022,Gold,80,1,28
1023,Yellow,75,-8,55
1024,Yellow,74,-10,59
1025,Yellow,74,-9,53
1026,Purple,21,44,-58
1027,Purple,20,42,-57
1028,Silver,72,-1,5
1029,Silver,70,-4,0
1030,Gold,80,-1,23
1031,Gold,80,-2,25
1032,Yellow,73,-4,53
1033,Yellow,71,-3,54
1034,Purple,15,27,-35
1035,Purple,15,33,-43
1036,Purple,14,30,-39
1037,Silver,69,3,6
1038,Gold,85,-3,29
1039,Gold,86,-4,32
1040,Gold,84,2,36
1041,Yellow,72,-3,48
1042,Yellow,72,-5,54
1043,Yellow,72,-5,53
1044,Purple,12,27,-36
1045,Purple,16,32,-44
1046,Purple,14,26,-37
1047,Silver,69,1,8
1048,Silver,69,1,8
1049,Silver,66,2,12
1050,Gold,89,1,26
1051,Gold,89,0,27
1052,Gold,82,-1,33
1053,Yellow,79,-3,44
1054,Yellow,79,-4,48
1055,Yellow,79,-4,49
1056,Yellow,76,-3,46
1057,Purple,19,33,-44
1058,Purple,20,34,-45
1059,Silver,74,2,10
1060,Gold,86,4,38
1061,Gold,86,4,38
